22,0.0,四川省九达企业发展有限责任公司,,0,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
23,0.0,四川省能投攀枝花水电开发有限公司,,10,,,2012-02-21,40000.000000万人民币,四川省能源投资集团有限责任公司,长江勘测规划设计研究院,攀枝花市国有投资（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00%,,,,,,,,,,,25.00%,,,,,,,,,,,15.00%,,,,,,,,,,,,,,,,,0,何林,,
24,0.0,遂宁市河东开发建设投资有限公司,,8,3,梁燕丽,2002-11-13,150000.000000万人民币,遂宁发展投资有限责任公司,遂宁市兴业资产经营公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.01%,,,,,,,,,,,50.01%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,张建培,,
25,0.0,太原钢铁（集团）有限公司,36,139,54,,1997-12-05,667468万人民币,山西省国有资本投资运营有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,高祥明,509,
26,0.0,泰州市交通产业集团有限公司,,9,17,许向前,1996-10-28,800000.000000万人民币,泰州市政府国有资产监督管理委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,许向前,,
27,0.0,唐山世园投资管理有限公司,,0,1,,2013-12-02,9000.000000万人民币,唐山南湖投资集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,128
28,0.0,唐山市南湖生态城开发建设投资有限责任公司,,0,2,,2008-06-16,118000万人民币,唐山市人民政府国有资产监督管理委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,韩铁梅,,69
29,0.0,天津港（集团）有限公司,2,163,44,赵彦虎,1996-07-26,360090.600000万人民币,市交通委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,张锐钢,57,
30,0.0,天津佳永租赁有限公司,,4,,,2012-04-27,100000.000000万人民币,天津市浩物机电汽车贸易有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
31,0.0,天津民生医院管理有限公司,,4,8,,2014-12-29,43700.000000万人民币,宁波航通投资管理合伙企业（有限合伙）,天津市集睿科技投资有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.71%,,,,,,,,,,,2.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,冯浩然,,
32,0.0,天津市津能投资公司,4,94,40,李庚生,1988-09-23,420280.400000万人民币,天津能源投资集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
33,0.0,天津市塘沽城市建设投资公司,,30,10,,未公开,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,49
34,0.0,天津泰达投资控股有限公司,,357,89,张秉军,1985-05-28,1007695.000000万人民币,天津市人民政府国有资产监督管理委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,张秉军,,1
35,0.0,天津天保控股有限公司,,52,29,,1999-01-28,445303.150000万人民币,天津保税区投资控股集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,赵家旺,,3
36,0.0,通航空港建设投资管理有限公司,,3,1,,2013-01-25,10000 万人民币,北京华轩交通有限责任公司,北京谷龙国际航空投资有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.74%,,,,,,,,,,,5.26%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,张德昌,,1
37,0.0,望都县龙禹供水有限责任公司,,0,1,南庆林,2014-06-06,800.000000万人民币,望都县水利技术推广中心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,2
38,0.0,卫宁健康科技集团股份有限公司,9,25,34,王涛,2004-04-07,159904.5842万人民币,有限售条件股份,无限售条件股份,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.77%,,,,,,,,,,,25.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,周炜,2,337
39,0.0,渭南市黄河水务有限责任公司,,1,,,2014-02-21,30000.000000万人民币,渭南市水务集团有限公司,中国农发重点建设基金有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未公开,,,,,,,,,,,未公开,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,李彦龙,,
40,0.0,温州华富投资管理有限公司,,0,,曾步光,2009-02-05,580.000000万人民币,曾步光,曾步程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00%,,,,,,,,,,,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
41,0.0,温州市五马汽车出租公司,,1,2,,1986-11-19,1488.000000万人民币,张朝荣,张黎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.47%,,,,,,,,,,,16.53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
42,1.0,沃德思源集团有限公司,1,6,10,路彩英,2006-09-01,8900.000000万人民币,路彩英,耿彬华,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.09%,,,,,,,,,,,49.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,路彩英,29,10
43,0.0,西安出行宝公共自行车有限公司,,0,,王文武,2011-03-29,100.000000万人民币,王文武,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1
44,0.0,西咸新区丝路文化旅游发展有限公司,,6,,胡鹏博,2015-04-02,100000.000000万人民币,陕西沣西新城投资发展有限公司,陕西旅游集团公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00%,,,,,,,,,,,未公开,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,贾少龙,,1
45,0.0,献县自来水公司,,0,1,王增利,1993-10-22,127.900000万人民币,献县城乡建设环境保护局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
46,0.0,香港地铁有限公司,,0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
47,0.0,香港合和实业有限公司,,0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
48,0.0,香港合和中国发展有限公司,2,0,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
49,2.0,香港铁路有限公司,2,5,3,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,2
,PPP项目数,公司名称,分支机构,周边风险,对外投资,总经理,注册时间,注册资本,股东1,股东2,股东3,股东4,股东5,股东6,股东7,股东8,股东9,股东10,股东11,股东12,股东13,股东14,股东15,股东16,股东17,股东18,股东19,股东20,股东21,股东22,股东23,股东24,股东25,股东26,股东27,股东28,股东29,股东30,股东31,股东32,股东33,股东34,股东35,股东36,股东37,股东38,股东39,股东40,股东41,股东42,股东43,股东44,股东45,股东46,股东47,股东48,股东49,股东10持股比例,股东11持股比例,股东12持股比例,股东13持股比例,股东14持股比例,股东15持股比例,股东16持股比例,股东17持股比例,股东18持股比例,股东19持股比例,股东1持股比例,股东20持股比例,股东21持股比例,股东22持股比例,股东23持股比例,股东24持股比例,股东25持股比例,股东26持股比例,股东27持股比例,股东28持股比例,股东29持股比例,股东2持股比例,股东30持股比例,股东31持股比例,股东32持股比例,股东33持股比例,股东34持股比例,股东35持股比例,股东36持股比例,股东37持股比例,股东38持股比例,股东39持股比例,股东3持股比例,股东40持股比例,股东41持股比例,股东42持股比例,股东43持股比例,股东44持股比例,股东45持股比例,股东46持股比例,股东47持股比例,股东48持股比例,股东49持股比例,股东4持股比例,股东5持股比例,股东6持股比例,股东7持股比例,股东8持股比例,股东9持股比例,自身风险,董事长,专利,招投标项目总数
0,0.0,湘潭九华经济建设投资有限公司,,239,33,,2003-11-06,60000.000000万人民币,湘潭九华示范区管理委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,喻芳,,
1,0.0,新乡卓人教育管理有限公司,,0,,,2013-02-21,600万人民币,刘齐晋,李琤琤,罗晖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00%,,,,,,,,,,,33.33%,,,,,,,,,,,16.67%,,,,,,,,,,,,,,,,,0,,,
2,0.0,新誉集团有限公司,1,986,31,周立成,2002-09-29,10000.000000万人民币,周立新,周立成,周锡海,戈亚琴,周菊珍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.75%,,,,,,,,,,,49.50%,,,,,,,,,,,0.25%,,,,,,,,,,,0.25%,0.25%,,,,,4,周立成,266,
3,9.0,兴源环境科技股份有限公司,1,16,39,周立武,1992-07-15,104295.403800万人民币,无限售流通股,限售流通股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.03%,,,,,,,,,,,20.97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,沈少鸿,274,31
4,0.0,徐州工程机械集团有限公司,12,726,20,付健,1985-08-21,203487万人民币,徐州市人民政府国有资产监督管理委员会,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,王民,15,2
5,0.0,徐州市新水国有资产经营有限责任公司,,4,11,王智辉,2010-03-11,88800.000000万人民币,徐州市人民政府国有资产监督管理委员会,中国农发重点建设基金有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.57%,,,,,,,,,,,32.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,王智辉,,
6,0.0,盐城市高速公路有限公司,1,147,5,夏立新,1999-11-11,10001万人民币,江苏盐阜公路运输集团有限公司,盐城市交通投资集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30%,,,,,,,,,,,未公开,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
7,0.0,扬州市交通产业集团有限责任公司,1,73,17,凌卫东,2003-03-13,530588.252681万人民币,扬州市城建国有资产控股（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,凌卫东,,1
8,0.0,阳煤集团,,3,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,77,
9,0.0,宜州市恒业茧丝有限责任公司,38,1,,,2002-05-09,2000万人民币,覃菊兰,陆正耀,黄芳,广西恒业丝绸集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.60%,,,,,,,,,,,19.44%,,,,,,,,,,,6.96%,,,,,,,,,,,未公开,,,,,,15,,3,
10,0.0,营口北海新经济区实业开发有限公司,,7,4,,2010-02-03,5500.000000万人民币,营口北海新区管理委员会,营口资产经营有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.91%,,,,,,,,,,,9.09%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,孙培飞,,
11,0.0,营口市老边区新农村建设投资发展有限公司,,0,,张继承,2009-03-27,5000.000000万人民币,营口市老边区国有资产管理局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,张继承,,
12,0.0,余姚市杭州湾大桥投资有限公司,,11,1,戎伟军,2003-04-23,500.000000万人民币,宁波更大集团有限公司,宁波科环新型建材股份有限公司,宁波舜大房地产开发有限公司,宁波燎原工业股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00%,,,,,,,,,,,25.00%,,,,,,,,,,,20.00%,,,,,,,,,,,5.00%,,,,,,0,戎伟军,,
13,0.0,余姚市四明山旅游投资发展有限公司,1,1,5,徐焕章,2008-06-20,15000.000000万人民币,余姚市金瑞资产经营有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3
14,0.0,越秀（中国）交通基建投资有限公司,2,31,6,何柏青,2010-07-22,190000.000000万人民币,越秀交通基建有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,朱春秀,,
15,8.0,云南省公路开发投资有限责任公司,3,15,21,张从明,2006-05-25,548100万人民币,云南省政府（交通厅代）,国开发展基金有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未公开,,,,,,,,,,,未公开,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,邱江,27,15
16,0.0,云南省水利厅,,2,5,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,58
17,2.0,张掖市甘州区兴达城建投资开发有限责任公司,,0,7,高兴湖,2009-06-02,1600.000000万人民币,张掖市万盛投资开发建设有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,4
18,0.0,长沙县果中圆城镇建设投资开发有限公司,,0,,毛青,2014-08-01,1000.000000万人民币,长沙县果园镇人民政府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,毛青,,
19,0.0,长沙县星城建设投资有限公司,,24,21,王岳能,2001-12-25,10000.000000万人民币,长沙县人民政府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,陈波,,4
20,0.0,招商局公路网络科技控股股份有限公司,,32,37,王秀峰,1993-12-18,617821.1497 万人民币,深圳市招商蛇口资产管理有限公司,招商局集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07%,,,,,,,,,,,0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,方波平,,
21,0.0,招商局国际有限公司,,0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,
22,0.0,浙大网新建设投资集团有限公司,,3,9,张灿洪,2007-07-03,40000.000000万人民币,浙江网新鑫金控投资管理有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,张灿洪,,
23,0.0,浙江富元能源开发有限公司,,1,,,2012-08-09,5000.000000万人民币,浙江金哥针织有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
24,0.0,郑州航空港水务发展有限公司,,22,1,董建刚,2014-11-11,30000万人民币,河南投资集团控股发展有限公司,郑州自来水投资控股有限公司,郑州航空港兴港投资集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.00%,,,,,,,,,,,25.00%,,,,,,,,,,,未公开,,,,,,,,,,,,,,,,,0,朱红兵,,
25,0.0,中船重工西安东仪新能源有限责任公司,,25,18,郑恩军,2010-12-31,14000.000000万人民币,中船重工西安东仪科工集团有限公司,山东国风风电设备有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.57%,,,,,,,,,,,1.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,徐合刚,,
26,0.0,中法水务投资有限公司,,2,3,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
27,0.0,中关村华医移动医疗技术创新研究院,,0,,,,2000000.00 元/万人民币,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
28,0.0,中国道路运输协会,,0,4,,,10.00万人民币,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3
29,7.0,中国光大国际有限公司,1,1,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,15
30,7.0,中国交通建设股份有限公司,17,1302,95,,2006-10-08,1617473.542500万人民币,中国交通建设集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,刘起涛,59,30
31,0.0,中国金融期货交易所,,0,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,
32,0.0,中国神华能源股份有限公司,21,142,80,韩建国,2004-11-08,1988962.045500万人民币,国家能源投资集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,凌文,4862,
33,8.0,中国水利水电第六工程局有限公司,59,54,19,,1990-03-15,114606.000000万人民币,中国电力建设股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,75,16
34,5.0,中国铁建股份有限公司,8,3795,75,,2007-11-05,1357954.150000万人民币,中国铁道建筑总公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,孟凤朝,25,46
35,0.0,中国铁路工程总公司,26,58,19,李长进,1990-03-07,1207311.5 万人民币,国务院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,4,
36,0.0,中国铁路总公司,1,1614,44,陆东福,2013-03-14,103600000.000000万人民币,财政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,683,15
37,1.0,中国通用机械工程有限公司,6,23,10,,1992-05-25,18300.000000万人民币,中国机械工业集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,马长春,,2
38,0.0,中国证券登记结算有限责任公司,5,20,13,戴文华,2001-03-21,1000000 万人民币,上海证券交易所,深圳证券交易所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00%,,,,,,,,,,,50.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,戴文华,,17
39,5.0,中国中铁股份有限公司,21,2757,85,张宗言,2007-09-12,2284430.154300万人民币,中国铁路工程总公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,李长进,114,48
40,0.0,中航商用航空发动机有限责任公司,,17,1,王之林,2009-01-17,600000万人民币,中国航空工业集团公司,上海烟草集团有限责任公司,上海国盛（集团）有限公司,上海电气（集团）总公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00%,,,,,,,,,,,30.00%,,,,,,,,,,,15.00%,,,,,,,,,,,15.00%,,,,,,0,黄迪南,450,
41,0.0,中华慈善总会,,2,3,,未公开,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,11
42,6.0,中建海峡建设发展有限公司,26,690,31,江建端,1984-03-08,150000.000000万人民币,中国建筑第七工程局有限公司,中国建筑股份有限公司,中国建筑第三工程局有限公司,中国建筑第四工程局有限公司,中国建筑东北设计研究院有限公司,中国建筑上海设计研究院有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.00%,,,,,,,,,,,20.00%,,,,,,,,,,,12.50%,,,,,,,,,,,12.50%,4.00%,1.00%,,,,105,江建端,294,14
43,1.0,中建路桥集团有限公司,17,172,31,刘中林,1998-11-02,100000.000000万人民币,河北交通投资集团公司,中建交通建设集团有限公司,中国建筑股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.00%,,,,,,,,,,,30.60%,,,,,,,,,,,20.40%,,,,,,,,,,,,,,,,,174,刘吉诚,85,48
44,0.0,中联重科股份有限公司,43,1378,94,,1999-08-31,762528.716400万人民币,广州市天河区新怡通机械设备有限公司,长沙高新技术产业开发区中标实有限公司,广州黄埔中联建设机械产业有限公司,北京中利四达科技开发有限公司,北京瑞新建技术开发有限公司,建设部长沙建设机械研究院,社会公众股,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,未公开,,,,,,,,,,,未公开,,,,,,,,,,,未公开,,,,,,,,,,,未公开,未公开,未公开,未公开,,,1937,詹纯新,7945,2100
45,0.0,中石油北京天然气管道有限公司,,1,1,张余,2013-01-15,2187042 万元 人民币,昆仑能源有限公司,北京市燃气（集团）有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00%,,,,,,,,,,,40.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,凌霄,28,4
46,1.0,中铁第四勘察设计院集团有限公司,25,22,30,,1992-06-03,100000.000000万人民币,中国铁建股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,蒋再秋,2105,95
47,7.0,中铁电气化局集团有限公司,42,136,46,刘志远,2001-06-29,300000.000000万人民币,中国中铁股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,韦国,278,26
48,8.0,中铁二十局集团有限公司,49,230,52,陈宏伟,1993-12-01,313000.000000万人民币,中国铁建股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,邓勇,140,32
